#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1653at4891_4|ptg000008l:850268-852322   -            685 1653at4891           -            641  6.5e-208  683.4   5.6   1   1  1.3e-207  3.1e-207  681.2   5.6   141   633     1   634     1   643 0.84 -
28907at4891_2|ptg000003l:855700-857265  -            521 1653at4891           -            641   4.5e-09   26.5   0.1   2   2   0.00066    0.0016    8.2   0.0    71   127   369   427   360   440 0.76 -
1653at4891_1|ptg000007l:423866-425314   -            483 1653at4891           -            641   1.2e-08   25.1   0.8   1   3   0.00059    0.0014    8.4   0.0    67   215    46   201    22   202 0.73 -
1653at4891_1|ptg000007l:423866-425314   -            483 1653at4891           -            641   1.2e-08   25.1   0.8   2   3   1.5e-07   3.5e-07   20.2   1.0   143   322   171   347   121   375 0.73 -
1653at4891_1|ptg000007l:423866-425314   -            483 1653at4891           -            641   1.2e-08   25.1   0.8   3   3      0.23      0.53   -0.2   0.0    64   149   370   457   353   483 0.64 -
28907at4891_7|ptg000014l:208371-209279  -            303 1653at4891           -            641   1.1e-05   15.4   0.3   1   2   5.2e-05   0.00012   11.8   0.2    44   170     8   141     3   185 0.69 -
28907at4891_7|ptg000014l:208371-209279  -            303 1653at4891           -            641   1.1e-05   15.4   0.3   2   2     0.078      0.18    1.4   0.0   221   251   250   282   237   289 0.59 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/1653at4891.hmm
# Target file:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/rerun_results/SRR.asm.bp.p_ctg.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/hmmer_output/rerun_results/1653at4891.out --cpu 1 /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/1653at4891.hmm /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/rerun_results/SRR.asm.bp.p_ctg.fasta.modified.fas 
# Current dir:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly
# Date:            Wed Feb 21 15:53:24 2024
# [ok]
