#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
5791at4891_2|ptg000003l:442198-444360   -            721 5791at4891           -            462  9.1e-198  654.8   0.1   1   1  1.2e-199  2.5e-197  653.4   0.1    17   461   201   699   198   700 0.88 -
5557at4891_3|ptg000016l:325676-327139   -            488 5791at4891           -            462   0.00084   15.3   0.0   1   1   8.2e-06    0.0017   14.3   0.0   205   283   352   435   329   455 0.83 -
18663at4891_2|ptg000015l:228298-229758  -            487 5791at4891           -            462    0.0023   13.9   0.4   1   3      0.02         4    3.2   0.0    36    82   105   158    69   188 0.79 -
18663at4891_2|ptg000015l:228298-229758  -            487 5791at4891           -            462    0.0023   13.9   0.4   2   3       1.1   2.3e+02   -2.6   0.1   312   348   249   285   230   289 0.64 -
18663at4891_2|ptg000015l:228298-229758  -            487 5791at4891           -            462    0.0023   13.9   0.4   3   3   0.00052      0.11    8.4   0.0   205   307   310   413   295   461 0.82 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/5791at4891.hmm
# Target file:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR.asm.bp.p_ctg.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/5791at4891.out --cpu 1 /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/5791at4891.hmm /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR.asm.bp.p_ctg.fasta.modified.fas 
# Current dir:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly
# Date:            Wed Feb 21 15:52:50 2024
# [ok]
