# BUSCO version is: 5.6.1 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2024-01-08, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
569at4891	Complete	ptg000003l	702834	707309	+	1120.5	813	https://v10-1.orthodb.org/?query=569at4891	DNA polymerase
578at4891	Complete	ptg000005l	462242	458172	-	899.9	944	https://v10-1.orthodb.org/?query=578at4891	WD40/YVTN repeat-like-containing domain superfamily
594at4891	Complete	ptg000011l	728917	725480	-	1921.2	962	https://v10-1.orthodb.org/?query=594at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
630at4891	Complete	ptg000005l	722204	727576	+	1767.2	1231	https://v10-1.orthodb.org/?query=630at4891	Sec7, C-terminal
631at4891	Complete	ptg000012l	128632	132612	+	1692.0	930	https://v10-1.orthodb.org/?query=631at4891	P-type ATPase
652at4891	Complete	ptg000014l	467137	462050	-	864.9	863	https://v10-1.orthodb.org/?query=652at4891	Anaphase-promoting complex subunit 1
662at4891	Complete	ptg000006l	705688	711651	+	611.1	906	https://v10-1.orthodb.org/?query=662at4891	Armadillo-type fold
665at4891	Complete	ptg000005l	1307495	1311091	+	1622.8	980	https://v10-1.orthodb.org/?query=665at4891	Coatomer subunit alpha
676at4891	Complete	ptg000009l	91477	95103	+	1623.4	950	https://v10-1.orthodb.org/?query=676at4891	P-type ATPase
692at4891	Complete	ptg000007l	709422	704257	-	1419.1	1219	https://v10-1.orthodb.org/?query=692at4891	S1 domain
693at4891	Duplicated	ptg000014l	92509	97236	+	1035.4	843	https://v10-1.orthodb.org/?query=693at4891	MAP kinase kinase kinase
693at4891	Duplicated	ptg000010l	89143	92952	+	983.5	841	https://v10-1.orthodb.org/?query=693at4891	MAP kinase kinase kinase
695at4891	Complete	ptg000006l	113751	117101	+	1669.5	888	https://v10-1.orthodb.org/?query=695at4891	Carbamoyl-phosphate synthetase, large subunit oligomerisation domain
707at4891	Complete	ptg000008l	409674	414560	+	261.3	272	https://v10-1.orthodb.org/?query=707at4891	SEPARIN core domain
721at4891	Complete	ptg000001l	213552	209500	-	1187.4	802	https://v10-1.orthodb.org/?query=721at4891	DNA-directed RNA polymerase
722at4891	Complete	ptg000011l	503428	498488	-	964.5	945	https://v10-1.orthodb.org/?query=722at4891	AMP-dependent synthetase/ligase
730at4891	Complete	ptg000005l	1228797	1225507	-	1468.5	844	https://v10-1.orthodb.org/?query=730at4891	DNA polymerase
746at4891	Complete	ptg000013l	471951	475253	+	1351.4	740	https://v10-1.orthodb.org/?query=746at4891	Histidine phosphatase superfamily
751at4891	Complete	ptg000002l	723429	726644	+	1668.9	922	https://v10-1.orthodb.org/?query=751at4891	Aminoacyl-tRNA synthetase, class Ia
811at4891	Complete	ptg000011l	938761	935513	-	1203.8	752	https://v10-1.orthodb.org/?query=811at4891	DNA-directed DNA polymerase, family A, conserved site
845at4891	Complete	ptg000013l	427205	423210	-	1332.7	994	https://v10-1.orthodb.org/?query=845at4891	Elongator complex protein 1
863at4891	Complete	ptg000016l	323822	320784	-	1630.7	850	https://v10-1.orthodb.org/?query=863at4891	2-oxoglutarate dehydrogenase E1 component
869at4891	Complete	ptg000003l	818129	814542	-	1591.3	848	https://v10-1.orthodb.org/?query=869at4891	Chromo domain
960at4891	Duplicated	ptg000013l	171409	174540	+	1712.3	888	https://v10-1.orthodb.org/?query=960at4891	Elongation factor 3
960at4891	Duplicated	ptg000014l	171623	168492	-	1731.9	887	https://v10-1.orthodb.org/?query=960at4891	Elongation factor 3
962at4891	Complete	ptg000011l	944572	941699	-	1434.7	802	https://v10-1.orthodb.org/?query=962at4891	Alanine--tRNA ligase
982at4891	Complete	ptg000007l	615861	618917	+	1253.7	739	https://v10-1.orthodb.org/?query=982at4891	Pyridoxal phosphate-dependent transferase
986at4891	Complete	ptg000003l	535822	541422	+	2091.6	1363	https://v10-1.orthodb.org/?query=986at4891	SNF2-related, N-terminal domain
1006at4891	Complete	ptg000003l	395241	391735	-	1267.8	885	https://v10-1.orthodb.org/?query=1006at4891	Niemann-Pick C1, N-terminal
1011at4891	Complete	ptg000014l	320236	315995	-	1628.6	950	https://v10-1.orthodb.org/?query=1011at4891	DNA topoisomerase, type IIA
1037at4891	Complete	ptg000014l	347827	343427	-	1327.1	920	https://v10-1.orthodb.org/?query=1037at4891	DNA polymerase
1038at4891	Complete	ptg000011l	559488	555805	-	675.7	651	https://v10-1.orthodb.org/?query=1038at4891	Ubiquitin specific protease, conserved site
1088at4891	Complete	ptg000005l	485866	482687	-	1209.0	825	https://v10-1.orthodb.org/?query=1088at4891	Helicase, C-terminal
1099at4891	Complete	ptg000008l	892401	889153	-	1063.0	723	https://v10-1.orthodb.org/?query=1099at4891	Glycoside hydrolase family 38, central domain
1120at4891	Complete	ptg000003l	796725	800273	+	1202.5	712	https://v10-1.orthodb.org/?query=1120at4891	Ribosome biogenesis protein Bms1, N-terminal
1180at4891	Complete	ptg000003l	410149	406466	-	1250.7	951	https://v10-1.orthodb.org/?query=1180at4891	Uncharacterised domain NUC173
1186at4891	Complete	ptg000014l	402577	399419	-	1651.3	862	https://v10-1.orthodb.org/?query=1186at4891	RNA cytidine acetyltransferase
1220at4891	Complete	ptg000005l	495560	500521	+	1515.8	1196	https://v10-1.orthodb.org/?query=1220at4891	Protein kinase domain
1221at4891	Complete	ptg000008l	1010128	1007024	-	1056.6	731	https://v10-1.orthodb.org/?query=1221at4891	FACT complex subunit Spt16 domain
1226at4891	Complete	ptg000009l	383180	379842	-	1264.4	939	https://v10-1.orthodb.org/?query=1226at4891	Importin-beta, N-terminal domain
1228at4891	Complete	ptg000010l	155995	149531	-	878.4	961	https://v10-1.orthodb.org/?query=1228at4891	BEACH domain
1240at4891	Complete	ptg000005l	175821	180020	+	427.3	592	https://v10-1.orthodb.org/?query=1240at4891	Mediator complex subunit Med13, C-terminal
1243at4891	Complete	ptg000013l	221240	217710	-	1139.8	832	https://v10-1.orthodb.org/?query=1243at4891	Condensin complex subunit 1
1266at4891	Complete	ptg000005l	1431784	1434996	+	1128.5	791	https://v10-1.orthodb.org/?query=1266at4891	NAD-specific glutamate dehydrogenase
1283at4891	Complete	ptg000005l	785833	790926	+	770.4	957	https://v10-1.orthodb.org/?query=1283at4891	Dopey, N-terminal
1299at4891	Complete	ptg000008l	161730	158479	-	1568.5	935	https://v10-1.orthodb.org/?query=1299at4891	Exportin-1, C-terminal
1312at4891	Complete	ptg000006l	455750	459439	+	1070.8	868	https://v10-1.orthodb.org/?query=1312at4891	SMCs flexible hinge
1341at4891	Complete	ptg000015l	262049	259017	-	754.3	604	https://v10-1.orthodb.org/?query=1341at4891	KEN domain
1344at4891	Complete	ptg000008l	768355	771687	+	483.2	473	https://v10-1.orthodb.org/?query=1344at4891	WD40/YVTN repeat-like-containing domain superfamily
1372at4891	Complete	ptg000008l	434765	431067	-	1124.3	873	https://v10-1.orthodb.org/?query=1372at4891	Nrap protein domain 1
1378at4891	Complete	ptg000011l	317949	322190	+	1329.9	810	https://v10-1.orthodb.org/?query=1378at4891	Paired amphipathic helix
1391at4891	Complete	ptg000003l	43765	39167	-	1830.4	1136	https://v10-1.orthodb.org/?query=1391at4891	Glycogen debranching enzyme
1392at4891	Complete	ptg000007l	852843	856505	+	816.2	605	https://v10-1.orthodb.org/?query=1392at4891	Ubiquitin carboxyl-terminal hydrolase 7, ICP0-binding domain
1425at4891	Complete	ptg000013l	397128	401165	+	844.9	645	https://v10-1.orthodb.org/?query=1425at4891	Dbl homology (DH) domain
1426at4891	Complete	ptg000001l	57576	54490	-	930.7	631	https://v10-1.orthodb.org/?query=1426at4891	Sulfite reductase 
1452at4891	Complete	ptg000007l	153466	148547	-	1289.8	830	https://v10-1.orthodb.org/?query=1452at4891	Lysophospholipase NTE1
1483at4891	Complete	ptg000017l	404385	407258	+	526.8	535	https://v10-1.orthodb.org/?query=1483at4891	Ras GTPase-activating protein
1491at4891	Complete	ptg000008l	424823	421632	-	1661.0	863	https://v10-1.orthodb.org/?query=1491at4891	Aminoacyl-tRNA synthetase, class Ia
1495at4891	Complete	ptg000005l	1398445	1394636	-	737.0	660	https://v10-1.orthodb.org/?query=1495at4891	WD40-repeat-containing domain
1497at4891	Complete	ptg000006l	384800	389848	+	930.8	1072	https://v10-1.orthodb.org/?query=1497at4891	Nucleoporin Nup186/Nup192/Nup205
1521at4891	Complete	ptg000011l	130826	127719	-	928.1	762	https://v10-1.orthodb.org/?query=1521at4891	Peptidase M16, C-terminal
1523at4891	Complete	ptg000008l	616820	613395	-	1163.7	741	https://v10-1.orthodb.org/?query=1523at4891	P-type ATPase
1529at4891	Complete	ptg000016l	190882	187433	-	1457.7	821	https://v10-1.orthodb.org/?query=1529at4891	P-type ATPase
1547at4891	Complete	ptg000002l	127324	123971	-	1104.6	728	https://v10-1.orthodb.org/?query=1547at4891	Amino acid permease/ SLC12A domain
1597at4891	Complete	ptg000010l	206827	209937	+	1141.7	707	https://v10-1.orthodb.org/?query=1597at4891	ABC transporter, conserved site
1609at4891	Complete	ptg000014l	701296	706200	+	793.9	951	https://v10-1.orthodb.org/?query=1609at4891	Mon2, C-terminal
1625at4891	Complete	ptg000005l	389656	385121	-	1235.4	715	https://v10-1.orthodb.org/?query=1625at4891	SNF2-related, N-terminal domain
1627at4891	Complete	ptg000003l	692912	689646	-	1389.2	822	https://v10-1.orthodb.org/?query=1627at4891	Aminoacyl-tRNA synthetase, class Ia
1633at4891	Complete	ptg000005l	925128	922471	-	846.4	564	https://v10-1.orthodb.org/?query=1633at4891	Trehalose-phosphatase
1642at4891	Complete	ptg000017l	80951	77505	-	271.3	554	https://v10-1.orthodb.org/?query=1642at4891	Nucleoporin, Nup133/Nup155-like, C-terminal
1653at4891	Fragmented	ptg000008l	852322	850268	-	683.4	492	https://v10-1.orthodb.org/?query=1653at4891	Coatomer subunit beta'
1655at4891	Complete	ptg000013l	360813	358231	-	1003.6	715	https://v10-1.orthodb.org/?query=1655at4891	Importin-beta, N-terminal domain
1667at4891	Complete	ptg000005l	197292	200258	+	996.8	733	https://v10-1.orthodb.org/?query=1667at4891	Peptidase M16, C-terminal
1679at4891	Complete	ptg000013l	453372	449512	-	1339.7	762	https://v10-1.orthodb.org/?query=1679at4891	ATP-dependent RNA helicase Ski2, C-terminal
1699at4891	Complete	ptg000008l	912349	915198	+	1197.8	677	https://v10-1.orthodb.org/?query=1699at4891	P-type ATPase
1708at4891	Complete	ptg000004l	65702	62652	-	901.5	692	https://v10-1.orthodb.org/?query=1708at4891	Alkaline phosphatase-like, alpha/beta/alpha
1760at4891	Complete	ptg000013l	225956	228280	+	1010.7	591	https://v10-1.orthodb.org/?query=1760at4891	DNA helicase
1774at4891	Complete	ptg000008l	981905	984943	+	1207.1	665	https://v10-1.orthodb.org/?query=1774at4891	DNA helicase
1803at4891	Complete	ptg000008l	1065485	1062618	-	1062.7	738	https://v10-1.orthodb.org/?query=1803at4891	Exportin-2, central domain
1807at4891	Complete	ptg000001l	121116	118639	-	618.2	582	https://v10-1.orthodb.org/?query=1807at4891	Nuclear pore protein
1841at4891	Complete	ptg000004l	258092	255093	-	339.4	521	https://v10-1.orthodb.org/?query=1841at4891	Mediator complex, subunit Med14
1860at4891	Complete	ptg000016l	363473	366001	+	1288.4	593	https://v10-1.orthodb.org/?query=1860at4891	Helicase, C-terminal
1865at4891	Complete	ptg000006l	63404	67729	+	1567.6	916	https://v10-1.orthodb.org/?query=1865at4891	Nitrite/Sulfite reductase ferredoxin-like domain
1875at4891	Complete	ptg000007l	392118	388309	-	674.9	756	https://v10-1.orthodb.org/?query=1875at4891	Armadillo-type fold
1906at4891	Complete	ptg000008l	51206	54355	+	747.5	601	https://v10-1.orthodb.org/?query=1906at4891	Transcription initiation factor TFIID subunit 1
1923at4891	Complete	ptg000009l	521833	524076	+	1250.0	645	https://v10-1.orthodb.org/?query=1923at4891	ATP-dependent helicase, C-terminal
1936at4891	Complete	ptg000002l	506327	503454	-	1034.2	579	https://v10-1.orthodb.org/?query=1936at4891	Chitin synthase
1947at4891	Complete	ptg000017l	634587	631552	-	1466.5	846	https://v10-1.orthodb.org/?query=1947at4891	Ubiquitin-activating enzyme E1
1970at4891	Complete	ptg000007l	496238	498784	+	435.6	411	https://v10-1.orthodb.org/?query=1970at4891	MIF4G-like, type 1
1979at4891	Complete	ptg000006l	511344	506917	-	602.2	409	https://v10-1.orthodb.org/?query=1979at4891	Protein kinase domain
2008at4891	Complete	ptg000012l	77114	80671	+	454.7	640	https://v10-1.orthodb.org/?query=2008at4891	Tfc3, extended winged-helix domain
2010at4891	Complete	ptg000002l	630166	632766	+	1221.6	637	https://v10-1.orthodb.org/?query=2010at4891	DNA helicase
2020at4891	Complete	ptg000006l	416077	412859	-	1544.1	836	https://v10-1.orthodb.org/?query=2020at4891	ATP-dependent RNA helicase Ski2, C-terminal
2040at4891	Complete	ptg000005l	237655	241521	+	531.5	675	https://v10-1.orthodb.org/?query=2040at4891	TRAPP II complex, Trs120
2048at4891	Complete	ptg000007l	870065	866799	-	1152.9	879	https://v10-1.orthodb.org/?query=2048at4891	Armadillo-type fold
2052at4891	Complete	ptg000006l	255341	259219	+	1141.1	923	https://v10-1.orthodb.org/?query=2052at4891	WD40/YVTN repeat-like-containing domain superfamily
2053at4891	Complete	ptg000006l	694294	696660	+	1181.3	633	https://v10-1.orthodb.org/?query=2053at4891	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain
2138at4891	Complete	ptg000002l	590656	594387	+	585.2	455	https://v10-1.orthodb.org/?query=2138at4891	Sla1
2161at4891	Complete	ptg000007l	823456	826323	+	1042.9	694	https://v10-1.orthodb.org/?query=2161at4891	Splicing factor 3B subunit 1-like
2166at4891	Complete	ptg000009l	343319	341025	-	1282.3	678	https://v10-1.orthodb.org/?query=2166at4891	Cobalamin-independent methionine synthase
2167at4891	Complete	ptg000007l	653082	650206	-	1359.4	728	https://v10-1.orthodb.org/?query=2167at4891	ATP-dependent 6-phosphofructokinase
2171at4891	Complete	ptg000005l	1482768	1479790	-	721.8	609	https://v10-1.orthodb.org/?query=2171at4891	Rho GTPase activation protein
2180at4891	Complete	ptg000005l	584796	587696	+	1183.0	750	https://v10-1.orthodb.org/?query=2180at4891	Coatomer subunit beta
2193at4891	Complete	ptg000004l	74120	76831	+	1335.6	760	https://v10-1.orthodb.org/?query=2193at4891	Clp, N-terminal
2203at4891	Complete	ptg000011l	644767	647181	+	1071.9	617	https://v10-1.orthodb.org/?query=2203at4891	Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain 2
2212at4891	Complete	ptg000002l	417338	419608	+	932.0	566	https://v10-1.orthodb.org/?query=2212at4891	ATPase, AAA-type, conserved site
2307at4891	Complete	ptg000013l	271945	269621	-	1362.6	664	https://v10-1.orthodb.org/?query=2307at4891	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain
2368at4891	Complete	ptg000013l	471571	468770	-	999.3	706	https://v10-1.orthodb.org/?query=2368at4891	WD40 repeat
2373at4891	Complete	ptg000007l	254768	252657	-	673.4	415	https://v10-1.orthodb.org/?query=2373at4891	POLO box domain
2385at4891	Complete	ptg000002l	626831	629815	+	1043.0	687	https://v10-1.orthodb.org/?query=2385at4891	Lon protease
2413at4891	Complete	ptg000002l	435011	432255	-	531.6	402	https://v10-1.orthodb.org/?query=2413at4891	SNF2-related, N-terminal domain
2421at4891	Complete	ptg000006l	689006	685608	-	824.9	608	https://v10-1.orthodb.org/?query=2421at4891	Ubiquitin specific protease, conserved site
2432at4891	Complete	ptg000003l	343115	340323	-	1189.1	636	https://v10-1.orthodb.org/?query=2432at4891	DNA helicase
2446at4891	Complete	ptg000014l	586568	581809	-	646.5	710	https://v10-1.orthodb.org/?query=2446at4891	Autophagy-related, C-terminal
2456at4891	Complete	ptg000012l	113327	109995	-	821.3	517	https://v10-1.orthodb.org/?query=2456at4891	SNF2-related, N-terminal domain
2459at4891	Complete	ptg000012l	84381	80776	-	575.8	836	https://v10-1.orthodb.org/?query=2459at4891	WD40/YVTN repeat-like-containing domain superfamily
2471at4891	Complete	ptg000014l	383129	380247	-	1230.6	779	https://v10-1.orthodb.org/?query=2471at4891	PDZ domain
2483at4891	Complete	ptg000010l	280968	283313	+	1010.7	578	https://v10-1.orthodb.org/?query=2483at4891	Phosphoribosyl-AMP cyclohydrolase domain
2485at4891	Complete	ptg000008l	906414	909107	+	1052.5	582	https://v10-1.orthodb.org/?query=2485at4891	SNF2-related, N-terminal domain
2499at4891	Complete	ptg000014l	729857	732568	+	1038.3	701	https://v10-1.orthodb.org/?query=2499at4891	Tetratricopeptide repeat
2515at4891	Complete	ptg000002l	544493	547240	+	713.4	630	https://v10-1.orthodb.org/?query=2515at4891	Armadillo-type fold
2531at4891	Complete	ptg000007l	348142	345809	-	925.2	499	https://v10-1.orthodb.org/?query=2531at4891	WD40-repeat-containing domain
2534at4891	Complete	ptg000008l	66901	62771	-	964.5	602	https://v10-1.orthodb.org/?query=2534at4891	ATPase, AAA-type, conserved site
2539at4891	Complete	ptg000007l	873270	870835	-	571.5	519	https://v10-1.orthodb.org/?query=2539at4891	Eukaryotic translation initiation factor 3 subunit C
2543at4891	Complete	ptg000014l	570960	568045	-	377.5	513	https://v10-1.orthodb.org/?query=2543at4891	Mediator complex, subunit Med16
2548at4891	Complete	ptg000010l	130259	134455	+	812.8	727	https://v10-1.orthodb.org/?query=2548at4891	Transcription initiation factor TFIID subunit 2
2549at4891	Complete	ptg000015l	481413	476752	-	1505.5	964	https://v10-1.orthodb.org/?query=2549at4891	WD40 repeat
2564at4891	Complete	ptg000003l	433208	429978	-	797.6	663	https://v10-1.orthodb.org/?query=2564at4891	RuvA domain 2-like
2565at4891	Complete	ptg000002l	412989	416957	+	750.1	590	https://v10-1.orthodb.org/?query=2565at4891	Bromodomain
2568at4891	Complete	ptg000005l	816264	812839	-	894.7	673	https://v10-1.orthodb.org/?query=2568at4891	WD40-repeat-containing domain
2611at4891	Complete	ptg000008l	120537	123479	+	1341.4	727	https://v10-1.orthodb.org/?query=2611at4891	ATP-dependent 6-phosphofructokinase
2618at4891	Duplicated	ptg000007l	459023	462679	+	1548.3	852	https://v10-1.orthodb.org/?query=2618at4891	SH3 domain
2618at4891	Duplicated	ptg000017l	473629	477444	+	1519.8	850	https://v10-1.orthodb.org/?query=2618at4891	SH3 domain
2630at4891	Complete	ptg000002l	383127	378772	-	899.8	831	https://v10-1.orthodb.org/?query=2630at4891	WD40-repeat-containing domain
2640at4891	Complete	ptg000002l	352830	350461	-	1011.7	537	https://v10-1.orthodb.org/?query=2640at4891	Zinc finger, RING-type
2706at4891	Complete	ptg000013l	427984	430377	+	650.9	500	https://v10-1.orthodb.org/?query=2706at4891	Vacuole morphology and inheritance protein 14
2716at4891	Complete	ptg000013l	233896	231560	-	886.9	522	https://v10-1.orthodb.org/?query=2716at4891	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
2724at4891	Complete	ptg000016l	239468	237285	-	1160.5	589	https://v10-1.orthodb.org/?query=2724at4891	Aminoacyl-tRNA synthetase, class II
2754at4891	Complete	ptg000011l	1012974	1010833	-	654.4	540	https://v10-1.orthodb.org/?query=2754at4891	Translation initiation factor, beta propellor-like domain
2784at4891	Complete	ptg000008l	654282	656399	+	1134.1	585	https://v10-1.orthodb.org/?query=2784at4891	Tryptophan synthase
2793at4891	Complete	ptg000008l	656776	659169	+	753.1	582	https://v10-1.orthodb.org/?query=2793at4891	Glycosyl hydrolase family 63, N-terminal
2825at4891	Complete	ptg000004l	253564	251333	-	1127.2	599	https://v10-1.orthodb.org/?query=2825at4891	Elongation factor G, mitochondrial
2851at4891	Complete	ptg000013l	116400	113953	-	822.1	601	https://v10-1.orthodb.org/?query=2851at4891	WD40-repeat-containing domain
2862at4891	Complete	ptg000005l	1267007	1269511	+	1409.7	683	https://v10-1.orthodb.org/?query=2862at4891	ATPase, AAA-type, conserved site
2893at4891	Complete	ptg000011l	856700	861043	+	1212.6	826	https://v10-1.orthodb.org/?query=2893at4891	P-type ATPase
2898at4891	Complete	ptg000009l	296230	298812	+	1083.2	636	https://v10-1.orthodb.org/?query=2898at4891	N-acetyl-gamma-glutamyl-phosphate reductase, active site
2905at4891	Complete	ptg000014l	654963	651544	-	389.3	474	https://v10-1.orthodb.org/?query=2905at4891	Timeless protein
2915at4891	Complete	ptg000011l	945281	949228	+	683.7	899	https://v10-1.orthodb.org/?query=2915at4891	UDP-glucose:Glycoprotein Glucosyltransferase
2926at4891	Complete	ptg000006l	527200	524852	-	770.2	594	https://v10-1.orthodb.org/?query=2926at4891	Transcription factor, GTP-binding domain
2971at4891	Complete	ptg000005l	551351	553783	+	1111.5	620	https://v10-1.orthodb.org/?query=2971at4891	ClpA/B, conserved site 1
2976at4891	Complete	ptg000008l	650377	648260	-	1091.3	585	https://v10-1.orthodb.org/?query=2976at4891	Oligosaccharyl transferase, STT3 subunit
2990at4891	Complete	ptg000008l	836985	841100	+	436.3	563	https://v10-1.orthodb.org/?query=2990at4891	Zinc finger, PHD-type
2994at4891	Complete	ptg000005l	408462	405679	-	755.0	641	https://v10-1.orthodb.org/?query=2994at4891	Condensin complex subunit 3
3032at4891	Complete	ptg000015l	239859	242039	+	975.5	585	https://v10-1.orthodb.org/?query=3032at4891	Squalene cyclase
3044at4891	Complete	ptg000008l	219203	222211	+	363.4	384	https://v10-1.orthodb.org/?query=3044at4891	Mad3/Bub1 homology region 1
3049at4891	Complete	ptg000002l	194305	191771	-	1022.7	587	https://v10-1.orthodb.org/?query=3049at4891	DNA replication licensing factor MCM7
